>>> Hostname is uaf-10.t2.ucsd.edu
inputs : /home/users/joytzphysics//DYJETSbkg/output4.root

                                                                                                    
RooUtil:: Adding /home/users/joytzphysics//DYJETSbkg/output4.root

                                                                                                    
RooUtil:: Start EventLooping

                                                                                                    
RooUtil:: System info:
uaf-10.t2.ucsd.edu
Linux uaf-10.t2.ucsd.edu 5.14.13-1.el7.elrepo.x86_64 #1 SMP Fri Oct 15 13:26:13 EDT 2021 x86_64 x86_64 x86_64 GNU/Linux
Fri Jul 29 18:55:13 PDT 2022
joytzphysics
/home/users/joytzphysics/NanoLooper

                                                                                                    
RooUtil::  _

                                                                                                    
RooUtil:: /\\

                                                                                                    
RooUtil:: \ \\  \__/ \__/

                                                                                                    
RooUtil::  \ \\ (oo) (oo)  Here we come!

                                                                                                    
RooUtil::   \_\\/~~\_/~~\_

                                                                                                    
RooUtil::  _.-~===========~-._

                                                                                                    
RooUtil:: (___________________)

                                                                                                    
RooUtil::       \_______/

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil::  Your friendly aliens

                                                                                                    
RooUtil::      Surf & Turf

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil:: Total Events in this Chain to process = 96680

                                                                                                    
RooUtil:: TTreeCache enabled

                                                                                                    
RooUtil:: Looping /home/users/joytzphysics//DYJETSbkg/output4.root/TTree:Events
RooUtil:: \|....................| 0.4 % (433/96680) with  [199 Hz]   ETA 00:08:02         
RooUtil:: ||....................| 0.5 % (441/96680) with  [203 Hz]   ETA 00:07:53         
RooUtil:: /|....................| 0.5 % (452/96680) with  [208 Hz]   ETA 00:07:41         
RooUtil:: -|....................| 0.5 % (463/96680) with  [213 Hz]   ETA 00:07:30         
RooUtil:: \|....................| 0.5 % (474/96680) with  [218 Hz]   ETA 00:07:20         
RooUtil:: ||....................| 0.5 % (485/96680) with  [223 Hz]   ETA 00:07:10         
RooUtil:: /|....................| 0.5 % (496/96680) with  [228 Hz]   ETA 00:07:00         
RooUtil:: -|....................| 0.5 % (507/96680) with  [233 Hz]   ETA 00:06:51         
RooUtil:: \|....................| 0.5 % (518/96680) with  [238 Hz]   ETA 00:06:42         
RooUtil:: ||....................| 0.5 % (529/96680) with  [243 Hz]   ETA 00:06:34         
RooUtil:: /|....................| 0.6 % (540/96680) with  [248 Hz]   ETA 00:06:26         
RooUtil:: -|....................| 0.6 % (551/96680) with  [253 Hz]   ETA 00:06:18         
RooUtil:: \|....................| 0.6 % (562/96680) with  [258 Hz]   ETA 00:06:11         
RooUtil:: ||....................| 0.6 % (573/96680) with  [263 Hz]   ETA 00:06:04         
RooUtil:: /|....................| 0.6 % (584/96680) with  [268 Hz]   ETA 00:05:57         
RooUtil:: -|....................| 0.6 % (595/96680) with  [273 Hz]   ETA 00:05:50         
RooUtil:: \|....................| 0.6 % (606/96680) with  [279 Hz]   ETA 00:05:44         
RooUtil:: ||....................| 0.6 % (617/96680) with  [284 Hz]   ETA 00:05:38         
RooUtil:: /|....................| 0.6 % (628/96680) with  [289 Hz]   ETA 00:05:32         
RooUtil:: -|====................| 24.0 % (23206/96680) with  [5720 Hz]   ETA 00:00:12         
RooUtil:: \|====................| 24.9 % (24046/96680) with  [5875 Hz]   ETA 00:00:12         
RooUtil:: ||=====...............| 25.5 % (24697/96680) with  [5918 Hz]   ETA 00:00:12         
RooUtil:: /|=====...............| 25.7 % (24865/96680) with  [5955 Hz]   ETA 00:00:12         
RooUtil:: -|=====...............| 25.9 % (25033/96680) with  [5992 Hz]   ETA 00:00:11         
RooUtil:: \|=====...............| 26.0 % (25180/96680) with  [6024 Hz]   ETA 00:00:11         
RooUtil:: ||=====...............| 26.2 % (25306/96680) with  [6033 Hz]   ETA 00:00:11         
RooUtil:: /|=====...............| 26.2 % (25348/96680) with  [6042 Hz]   ETA 00:00:11         
RooUtil:: -|=====...............| 26.3 % (25390/96680) with  [6051 Hz]   ETA 00:00:11         
RooUtil:: \|=====...............| 26.3 % (25432/96680) with  [6060 Hz]   ETA 00:00:11         
RooUtil:: ||=====...............| 26.3 % (25474/96680) with  [6070 Hz]   ETA 00:00:11         
RooUtil:: /|=====...............| 26.4 % (25516/96680) with  [6079 Hz]   ETA 00:00:11         
RooUtil:: -|=====...............| 26.4 % (25537/96680) with  [6083 Hz]   ETA 00:00:11         
RooUtil:: \|=====...............| 26.4 % (25558/96680) with  [6088 Hz]   ETA 00:00:11         
RooUtil:: ||=====...............| 26.5 % (25579/96680) with  [6021 Hz]   ETA 00:00:11         
RooUtil:: /|=====...............| 27.4 % (26511/96680) with  [6177 Hz]   ETA 00:00:11         
RooUtil:: -|=====...............| 28.1 % (27193/96680) with  [6286 Hz]   ETA 00:00:11         
RooUtil:: \|=====...............| 28.6 % (27677/96680) with  [6276 Hz]   ETA 00:00:10         
RooUtil:: ||=====...............| 29.9 % (28889/96680) with  [6498 Hz]   ETA 00:00:10         
RooUtil:: /|======..............| 30.9 % (29901/96680) with  [6612 Hz]   ETA 00:00:10         
RooUtil:: -|======..............| 31.5 % (30430/96680) with  [6584 Hz]   ETA 00:00:10         
RooUtil:: \|======..............| 32.7 % (31609/96680) with  [6658 Hz]   ETA 00:00:09         
RooUtil:: ||======..............| 33.1 % (31969/96680) with  [6723 Hz]   ETA 00:00:09         
RooUtil:: /|======..............| 33.4 % (32281/96680) with  [6655 Hz]   ETA 00:00:09         
RooUtil:: -|======..............| 34.4 % (33301/96680) with  [6685 Hz]   ETA 00:00:09         
RooUtil:: \|======..............| 34.6 % (33451/96680) with  [6710 Hz]   ETA 00:00:09         
RooUtil:: ||======..............| 34.7 % (33576/96680) with  [6730 Hz]   ETA 00:00:09         
RooUtil:: /|======..............| 34.8 % (33676/96680) with  [6747 Hz]   ETA 00:00:09         
RooUtil:: -|======..............| 34.9 % (33751/96680) with  [6760 Hz]   ETA 00:00:09         
RooUtil:: \|======..............| 35.0 % (33826/96680) with  [6773 Hz]   ETA 00:00:09         
RooUtil:: ||=======.............| 35.0 % (33876/96680) with  [6782 Hz]   ETA 00:00:09         
RooUtil:: /|=======.............| 35.1 % (33926/96680) with  [6790 Hz]   ETA 00:00:09         
RooUtil:: -|=======.............| 35.1 % (33976/96680) with  [6799 Hz]   ETA 00:00:09         
RooUtil:: \|=======.............| 35.2 % (34001/96680) with  [6803 Hz]   ETA 00:00:09         
RooUtil:: ||=======.............| 35.2 % (34026/96680) with  [6808 Hz]   ETA 00:00:09         
RooUtil:: /|=======.............| 35.2 % (34051/96680) with  [6812 Hz]   ETA 00:00:09         
RooUtil:: -|=======.............| 35.2 % (34076/96680) with  [6816 Hz]   ETA 00:00:09         
RooUtil:: \|=======.............| 35.3 % (34101/96680) with  [6820 Hz]   ETA 00:00:09         
RooUtil:: ||=======.............| 35.3 % (34126/96680) with  [6825 Hz]   ETA 00:00:09         
RooUtil:: /|=======.............| 35.3 % (34151/96680) with  [6829 Hz]   ETA 00:00:09         
RooUtil:: -|=======.............| 36.7 % (35517/96680) with  [6867 Hz]   ETA 00:00:08         
RooUtil:: \|=======.............| 37.0 % (35725/96680) with  [6902 Hz]   ETA 00:00:08         
RooUtil:: ||=======.............| 37.1 % (35907/96680) with  [6932 Hz]   ETA 00:00:08         
RooUtil:: /|=======.............| 37.3 % (36063/96680) with  [6917 Hz]   ETA 00:00:08         
RooUtil:: -|=======.............| 38.7 % (37369/96680) with  [6970 Hz]   ETA 00:00:08         
RooUtil:: \|=======.............| 39.0 % (37666/96680) with  [7018 Hz]   ETA 00:00:08         
RooUtil:: ||=======.............| 39.2 % (37909/96680) with  [7019 Hz]   ETA 00:00:08         
RooUtil:: /|========............| 40.7 % (39313/96680) with  [7073 Hz]   ETA 00:00:08         
